Run	LastBunchNumber
run1	3192
run2	2781
run3	2859
run4	4186
run5	3268
run6	1494
run7	499
run8	134
run9	2757
run10	2775
run11	2800
run12	3447
run13	3359
run14	2986
run15	2699
run16	2535
run17	3073
run18	2918
run19	2399
run20	2641
run21	2924
run22	2262
run23	2854
run24	2969
run25	3055
run26	3231
run27	2924
run28	3167
run29	3528
run30	9
run31	4089
run32	357
run33	564
run34	798
run35	3236
run36	882
run37	2848
run38	2936
run39	1581
run40	2101
run41	2398
run42	2533
run43	2612
run44	2404
run45	3225
====================================
Total sum of last bunch numbers = 112289
